nivel_satisfacao,ultima_avaliacao,numero_projetos,media_horas_mensais,tempo_empresa,acidente_trabalho,saiu,promocao_ultimos_5anos,departamento,salario
0.78,0.5,3,247,5,0,0,0,vendas,baixo
0.55,0.65,3,156,6,1,0,0,marketing,medio
0.87,0.78,4,225,4,0,0,1,tecnico,baixo
0.13,0.48,3,228,7,0,1,0,RH,medio
0.7,0.72,3,156,4,0,0,0,marketing,baixo
0.5,0.74,3,258,3,0,0,0,TI,baixo
0.77,0.62,3,153,3,0,0,0,tecnico,medio
0.89,0.52,6,234,5,0,0,0,suporte,alto
0.85,0.58,4,228,5,0,0,0,tecnico,baixo
0.4,0.64,4,223,6,0,1,0,tecnico,alto
0.57,0.77,4,186,3,0,0,0,RH,medio
0.68,0.83,2,203,3,0,0,0,suporte,baixo
0.4,0.78,4,116,5,0,0,0,RH,medio
0.75,0.56,4,216,5,0,0,0,vendas,baixo
0.5,0.62,3,179,3,0,0,0,vendas,baixo
0.79,0.7,3,195,4,1,0,0,gerenciamento,medio
0.09,0.66,4,227,4,0,1,0,suporte,baixo
0.81,0.55,4,142,2,0,0,0,suporte,baixo
0.56,0.59,3,225,2,0,0,0,suporte,baixo
0.56,0.59,6,237,4,1,0,0,vendas,medio
0.19,0.69,3,160,2,0,1,0,produto,medio
0.69,0.76,5,169,3,0,0,0,vendas,baixo
0.71,0.65,4,221,7,0,0,0,suporte,medio
0.78,0.71,3,224,3,0,0,0,suporte,baixo
0.67,0.64,4,146,5,0,0,0,administrativo,medio
0.6,0.56,3,233,5,0,0,0,suporte,medio
0.77,0.62,3,219,3,0,0,0,vendas,medio
0.66,0.78,3,215,4,0,0,0,suporte,medio
0.75,0.73,4,167,4,1,0,0,vendas,medio
0.21,0.55,4,283,4,0,1,0,vendas,baixo
0.11,0.69,3,266,3,0,1,0,vendas,medio
0.45,0.69,6,150,2,0,0,0,suporte,baixo
0.65,0.72,4,180,4,0,0,0,vendas,baixo
0.88,0.75,3,234,5,0,0,0,suporte,baixo
0.69,0.68,4,161,8,0,0,0,administrativo,baixo
0.65,0.58,3,173,4,0,0,0,produto,medio
0.78,0.73,4,229,3,0,0,0,vendas,medio
0.74,0.75,4,175,3,0,0,0,vendas,baixo
0.2,0.52,5,267,5,0,1,0,TI,baixo
0.67,0.73,5,150,5,0,0,0,financeiro,baixo
0.85,0.61,3,220,5,0,0,0,vendas,medio
0.23,0.64,4,222,4,0,1,0,RH,baixo
0.87,0.72,5,217,3,0,0,0,suporte,baixo
0.71,0.85,4,206,3,0,0,0,suporte,medio
0.55,0.69,6,236,2,1,0,0,gerenciamento,medio
0.68,0.58,4,216,3,0,0,0,produto,baixo
0.66,0.77,3,196,5,1,0,0,RH,baixo
0.58,0.71,4,214,7,0,0,0,tecnico,medio
0.79,0.6,4,179,7,0,0,0,suporte,baixo
0.28,0.63,3,253,4,0,1,1,TI,baixo
0.26,0.78,5,242,6,0,1,0,tecnico,medio
0.23,0.57,6,307,3,0,1,0,suporte,alto
0.47,0.71,4,157,3,1,0,0,vendas,baixo
0.85,0.69,6,222,5,0,0,0,vendas,baixo
0.27,0.75,2,269,4,0,1,0,tecnico,baixo
0.22,0.72,6,227,5,0,1,0,produto,medio
0.48,0.67,5,245,3,0,0,1,administrativo,baixo
0.74,0.52,5,209,6,0,0,0,tecnico,medio
0.69,0.58,5,204,5,0,0,0,TI,medio
0.16,0.74,3,310,3,0,1,0,vendas,alto
0.55,0.64,3,226,5,0,0,0,financeiro,medio
0.78,0.51,4,174,7,0,0,0,suporte,baixo
0.73,0.75,2,205,4,0,0,0,marketing,baixo
0.92,0.62,3,191,5,0,0,0,marketing,baixo
0.26,0.64,7,285,8,0,1,0,vendas,medio
0.78,0.66,3,225,6,0,0,0,suporte,medio
0.09,0.66,4,253,4,0,1,0,gerenciamento,medio
0.28,0.87,4,217,4,0,1,0,vendas,baixo
0.91,0.61,5,176,4,0,0,0,TI,medio
0.89,0.65,6,232,3,1,0,0,gerenciamento,medio
0.93,0.57,3,176,2,0,0,0,tecnico,alto
0.33,0.65,4,268,4,0,1,0,financeiro,medio
0.92,0.61,4,238,4,0,0,1,administrativo,medio
0.46,0.61,4,205,2,0,0,0,produto,medio
0.5,0.79,4,241,5,0,1,0,vendas,baixo
0.81,0.7,5,222,4,0,0,0,tecnico,baixo
0.09,0.66,3,289,2,0,1,0,vendas,baixo
0.85,0.76,3,183,8,0,0,0,RH,baixo
0.8,0.58,4,240,2,1,0,0,RH,medio
0.67,0.6,4,167,6,0,0,0,TI,medio
0.26,0.63,6,291,5,0,1,0,tecnico,medio
0.74,0.57,4,245,2,1,0,0,vendas,baixo
0.14,0.8,3,239,3,0,1,0,marketing,baixo
0.44,0.65,2,214,3,0,1,0,produto,baixo
0.83,0.54,4,178,5,0,0,0,administrativo,baixo
0.14,0.62,3,194,7,0,1,0,produto,alto
0.61,0.71,4,205,6,0,0,0,RH,baixo
0.8,0.5,5,206,4,0,0,0,produto,baixo
0.71,0.77,2,129,4,0,0,0,TI,baixo
0.36,0.49,2,289,4,0,1,0,tecnico,medio
0.78,0.54,4,255,3,0,0,0,financeiro,medio
0.79,0.64,3,193,5,1,0,0,TI,baixo
0.8,0.68,4,153,3,0,0,0,tecnico,medio
0.71,0.58,3,153,2,0,0,0,vendas,medio
0.72,0.63,2,195,6,0,0,0,tecnico,baixo
0.1,0.69,3,195,5,0,1,0,suporte,baixo
0.3,0.79,2,261,3,0,1,0,vendas,baixo
0.52,0.63,4,194,2,0,0,0,vendas,baixo
0.11,0.76,5,240,4,0,1,0,suporte,medio
0.7,0.62,4,210,3,0,0,0,vendas,baixo
0.23,0.64,2,267,5,0,1,0,marketing,baixo
0.53,0.61,5,235,6,0,0,0,suporte,baixo
0.77,0.66,5,187,3,0,0,0,suporte,baixo
0.8,0.62,3,199,3,0,0,0,vendas,medio
0.21,0.61,4,219,4,0,1,0,tecnico,baixo
0.67,0.66,4,238,4,0,0,0,tecnico,baixo
0.89,0.6,3,246,3,0,0,0,RH,medio
0.69,0.65,3,192,2,0,0,0,marketing,baixo
0.75,0.56,4,189,3,0,0,0,vendas,baixo
0.91,0.7,7,165,7,0,0,0,TI,baixo
0.66,0.52,4,186,4,0,0,0,vendas,baixo
0.35,0.56,6,241,4,0,1,0,gerenciamento,baixo
0.84,0.72,5,205,2,0,0,0,administrativo,baixo
0.92,0.66,3,204,6,0,0,0,suporte,baixo
0.85,0.54,4,230,2,0,0,0,produto,medio
0.17,0.68,5,273,4,1,1,0,marketing,baixo
0.23,0.56,5,253,4,0,1,0,produto,alto
0.85,0.6,7,239,8,1,0,0,produto,baixo
0.75,0.6,3,216,3,1,0,0,gerenciamento,medio
0.68,0.68,3,197,5,1,0,0,suporte,medio
0.66,0.7,3,177,5,0,0,0,TI,baixo
0.36,0.77,4,249,4,0,1,0,RH,medio
0.65,0.56,4,209,5,0,0,0,TI,medio
0.83,0.7,3,229,5,0,0,0,produto,baixo
0.76,0.7,6,164,5,1,0,0,vendas,alto
0.43,0.62,5,308,4,0,1,0,tecnico,baixo
0.71,0.57,2,267,8,0,0,0,vendas,baixo
0.85,0.56,3,220,6,0,0,0,suporte,medio
0.85,0.65,3,184,3,0,0,0,tecnico,baixo
0.24,0.68,2,232,5,0,1,0,gerenciamento,medio
0.79,0.71,5,156,5,0,0,0,TI,medio
0.62,0.57,4,206,3,1,0,0,marketing,alto
0.68,0.62,7,186,4,1,0,0,tecnico,baixo
0.61,0.64,2,267,3,0,0,0,RH,alto
0.89,0.47,6,148,3,0,0,0,TI,baixo
0.79,0.66,3,198,6,0,0,0,produto,baixo
0.61,0.65,3,134,4,0,0,0,tecnico,medio
0.67,0.79,5,180,6,0,0,0,suporte,medio
0.63,0.62,4,209,4,0,0,0,TI,baixo
0.29,0.6,5,220,4,0,1,0,suporte,medio
0.75,0.77,3,213,4,0,0,0,administrativo,baixo
0.29,0.63,4,208,4,0,1,0,financeiro,medio
0.75,0.67,5,238,6,0,0,0,gerenciamento,alto
0.9,0.67,5,242,5,0,0,0,TI,medio
0.78,0.56,4,181,3,0,0,0,gerenciamento,baixo
0.54,0.64,5,209,5,0,0,0,RH,medio
0.56,0.72,4,163,4,0,0,0,vendas,baixo
0.91,0.58,3,166,3,0,0,0,tecnico,medio
0.69,0.72,3,194,3,0,0,0,vendas,baixo
0.29,0.69,2,310,2,0,1,0,vendas,baixo
0.77,0.48,4,236,5,0,0,0,vendas,baixo
0.16,0.52,7,269,3,0,1,0,vendas,baixo
0.73,0.6,4,223,5,1,0,0,produto,medio
0.68,0.63,4,260,4,0,0,0,tecnico,baixo
0.65,0.78,3,171,6,0,0,0,tecnico,medio
0.8,0.55,3,197,5,0,0,0,marketing,medio
0.78,0.72,3,181,3,0,0,0,RH,baixo
0.61,0.59,5,216,8,1,0,0,gerenciamento,medio
0.76,0.56,3,141,2,0,0,0,TI,medio
0.87,0.65,3,156,7,0,0,0,suporte,medio
0.66,0.56,4,203,3,0,0,0,tecnico,medio
0.27,0.75,3,296,5,0,1,0,vendas,baixo
0.23,0.64,7,151,5,0,1,0,vendas,medio
0.32,0.55,5,298,5,0,1,0,tecnico,baixo
0.37,0.71,3,310,2,0,1,0,gerenciamento,baixo
0.86,0.53,3,218,4,0,0,0,vendas,alto
0.68,0.7,4,198,6,1,0,0,vendas,baixo
0.4,0.59,3,220,2,0,1,0,vendas,medio
0.91,0.76,4,197,3,1,0,0,produto,baixo
0.83,0.64,2,277,3,0,0,0,tecnico,baixo
0.92,0.6,5,232,3,0,0,0,tecnico,baixo
0.93,0.59,4,193,8,0,0,0,vendas,medio
0.89,0.6,4,202,5,0,0,0,tecnico,baixo
0.17,0.42,5,192,7,0,1,0,vendas,baixo
0.74,0.69,4,137,8,0,0,0,suporte,medio
0.8,0.5,4,257,3,1,0,0,vendas,baixo
0.1,0.69,2,299,3,0,1,0,marketing,baixo
0.77,0.74,3,217,5,0,0,0,suporte,medio
0.64,0.47,3,182,5,0,0,0,produto,alto
0.87,0.6,5,256,5,0,0,0,tecnico,baixo
0.63,0.74,3,138,8,0,0,0,tecnico,medio
0.26,0.75,3,301,7,0,1,0,vendas,baixo
0.41,0.59,3,212,3,0,0,1,suporte,baixo
0.38,0.56,4,310,4,0,1,0,suporte,medio
0.54,0.49,5,113,3,0,0,0,suporte,medio
0.46,0.65,4,215,3,0,1,0,produto,baixo
0.67,0.56,4,175,4,0,0,0,RH,baixo
0.3,0.46,3,251,4,0,1,0,marketing,baixo
0.68,0.54,4,146,8,0,0,0,vendas,baixo
0.18,0.83,3,241,5,0,1,0,TI,medio
0.86,0.52,4,172,3,0,0,0,vendas,medio
0.73,0.64,6,171,2,0,0,0,produto,baixo
0.21,0.83,3,280,3,0,1,0,tecnico,medio
0.74,0.68,3,177,3,1,0,0,vendas,medio
0.19,0.64,5,255,3,0,1,0,financeiro,baixo
0.67,0.74,4,241,7,1,0,0,TI,medio
0.86,0.62,4,236,2,0,0,0,tecnico,alto
0.67,0.64,4,137,3,0,0,0,vendas,baixo
0.84,0.63,3,230,5,0,0,1,suporte,medio
0.66,0.76,4,178,3,1,0,0,administrativo,medio
0.84,0.54,3,208,7,0,0,0,suporte,baixo
0.58,0.57,2,230,2,0,0,0,gerenciamento,baixo
0.73,0.63,3,234,7,0,0,0,vendas,medio
0.85,0.66,4,156,2,0,0,0,suporte,medio
0.7,0.62,5,182,3,0,0,0,marketing,medio
0.88,0.57,3,243,4,0,0,0,suporte,baixo
0.66,0.65,3,250,6,0,0,0,vendas,medio
0.74,0.65,3,187,5,1,0,0,suporte,baixo
0.18,0.73,5,290,3,0,1,0,TI,baixo
0.17,0.65,4,202,4,0,1,0,produto,baixo
0.78,0.77,3,236,4,0,0,0,marketing,medio
0.92,0.71,3,199,8,0,0,0,marketing,baixo
0.19,0.81,4,212,7,0,1,0,TI,baixo
0.63,0.62,4,196,6,0,0,0,vendas,baixo
0.77,0.71,7,271,4,0,0,0,tecnico,baixo
0.79,0.58,5,206,3,1,0,0,marketing,baixo
0.2,0.87,2,210,3,0,1,0,administrativo,medio
0.79,0.6,3,216,3,0,0,0,vendas,medio
0.68,0.62,5,185,4,0,0,0,suporte,medio
0.1,0.58,3,298,4,0,1,0,tecnico,baixo
0.12,0.52,2,192,4,0,1,0,vendas,baixo
0.44,0.6,4,152,7,0,0,0,suporte,alto
0.63,0.58,5,192,4,0,0,1,suporte,baixo
0.09,0.48,4,288,4,0,1,0,vendas,medio
0.85,0.64,3,191,4,0,0,0,marketing,medio
0.8,0.68,4,200,3,0,0,0,RH,medio
0.67,0.73,3,264,2,0,0,0,gerenciamento,baixo
0.21,0.76,3,216,3,0,1,0,vendas,baixo
0.68,0.59,3,256,2,0,0,0,suporte,baixo
0.47,0.56,4,236,6,0,1,0,tecnico,medio
0.19,0.64,4,235,4,0,1,0,tecnico,medio
0.61,0.61,3,161,6,0,0,0,suporte,medio
0.89,0.8,4,231,2,0,0,0,marketing,baixo
0.54,0.75,3,189,7,0,0,0,vendas,medio
0.9,0.59,3,179,6,0,0,0,gerenciamento,medio
0.79,0.71,4,194,4,1,0,0,RH,baixo
0.28,0.8,3,310,3,0,1,0,marketing,baixo
0.77,0.76,7,202,6,0,0,0,marketing,medio
0.13,0.54,6,283,7,0,1,0,tecnico,medio
0.63,0.56,4,208,3,1,0,0,marketing,baixo
0.76,0.6,3,198,6,0,0,0,tecnico,baixo
0.49,0.64,6,186,2,0,0,0,financeiro,medio
0.55,0.72,3,185,3,0,0,0,vendas,baixo
0.7,0.77,4,166,4,0,0,1,tecnico,baixo
0.78,0.62,2,189,7,1,0,0,suporte,medio
0.62,0.62,4,202,4,0,0,0,tecnico,medio
0.71,0.69,3,232,6,0,0,0,tecnico,medio
0.63,0.76,7,182,4,0,0,0,suporte,baixo
0.71,0.73,4,231,3,0,0,0,RH,medio
0.79,0.72,3,259,2,0,0,0,suporte,medio
0.23,0.77,3,249,6,0,1,0,tecnico,alto
0.83,0.74,4,183,4,1,0,0,vendas,baixo
0.65,0.65,3,206,2,0,0,0,tecnico,baixo
0.88,0.68,5,202,6,1,0,0,suporte,baixo
0.67,0.64,4,251,5,0,0,0,produto,medio
0.69,0.64,2,193,6,0,0,0,vendas,medio
0.74,0.68,3,231,6,0,0,0,vendas,baixo
0.67,0.65,5,178,5,0,0,0,tecnico,baixo
0.81,0.62,3,198,4,0,0,0,tecnico,baixo
0.77,0.67,3,231,3,0,0,0,tecnico,baixo
0.79,0.61,3,152,3,0,0,0,marketing,alto
0.8,0.65,4,165,4,0,0,0,tecnico,medio
0.25,0.77,2,287,4,0,1,0,suporte,baixo
0.8,0.65,4,189,4,0,0,0,TI,baixo
0.7,0.75,3,201,2,0,0,0,vendas,baixo
0.72,0.77,5,181,5,0,0,0,produto,medio
0.64,0.58,4,258,3,0,0,0,suporte,baixo
0.66,0.81,5,225,4,0,0,0,tecnico,alto
0.78,0.7,5,276,4,1,0,1,RH,medio
0.77,0.7,4,186,3,0,0,0,vendas,medio
0.74,0.64,4,225,2,1,0,0,financeiro,medio
0.86,0.6,6,121,4,0,0,0,suporte,medio
0.72,0.57,4,168,5,0,0,0,TI,baixo
0.69,0.61,3,173,3,1,0,0,financeiro,medio
0.67,0.51,3,186,8,0,0,0,RH,medio
0.52,0.61,4,224,7,1,0,0,suporte,baixo
0.57,0.64,3,310,2,0,1,0,marketing,baixo
0.86,0.79,3,180,5,0,0,0,tecnico,baixo
0.67,0.71,7,185,4,0,0,0,suporte,baixo
0.82,0.51,4,170,4,0,0,0,vendas,baixo
0.33,0.53,4,256,3,0,1,0,vendas,medio
0.67,0.59,5,177,2,0,0,0,RH,medio
0.82,0.7,3,201,3,0,0,0,vendas,medio
0.92,0.76,6,175,3,0,0,0,vendas,medio
0.81,0.46,4,210,6,1,0,0,marketing,medio
0.5,0.66,3,213,6,0,0,0,vendas,alto
0.72,0.54,4,204,3,0,0,0,tecnico,baixo
0.1,0.74,5,282,4,0,1,0,suporte,medio
0.82,0.72,6,141,4,0,0,0,suporte,baixo
0.84,0.54,4,171,4,0,0,0,marketing,medio
0.27,0.65,4,268,4,0,1,0,suporte,medio
0.76,0.78,3,228,4,0,0,0,suporte,medio
0.74,0.64,4,196,2,0,0,0,produto,baixo
0.82,0.75,4,185,3,0,0,0,suporte,baixo
0.79,0.52,6,146,2,0,0,0,TI,baixo
0.84,0.7,2,234,10,0,0,0,financeiro,baixo
0.19,0.62,5,235,5,0,1,0,tecnico,medio
0.93,0.71,3,180,3,1,0,0,tecnico,baixo
0.78,0.67,5,238,5,1,0,0,vendas,medio
0.84,0.69,4,228,4,1,0,0,TI,baixo
0.18,0.87,3,310,3,0,1,0,vendas,medio
0.22,0.74,6,191,4,0,1,0,suporte,baixo
0.28,0.49,3,275,4,0,1,0,marketing,baixo
0.72,0.5,4,271,2,0,0,0,suporte,medio
0.76,0.54,3,215,4,0,0,0,vendas,medio
0.74,0.63,4,148,5,1,0,0,marketing,baixo
0.84,0.66,2,209,4,0,0,0,vendas,medio
0.79,0.58,3,218,4,1,0,0,produto,medio
0.85,0.63,5,235,3,0,0,0,TI,medio
0.86,0.61,4,261,6,0,0,0,vendas,medio
0.74,0.64,4,245,4,0,0,0,financeiro,medio
0.83,0.68,3,263,6,0,0,0,vendas,medio
0.76,0.64,5,196,4,0,0,0,gerenciamento,medio
0.82,0.67,6,188,3,0,0,0,vendas,alto
0.59,0.69,4,219,10,0,0,0,vendas,medio
0.71,0.63,3,262,10,1,0,0,vendas,medio
0.88,0.45,4,189,2,0,0,0,vendas,baixo
0.83,0.73,3,183,6,1,0,0,produto,baixo
0.84,0.66,3,225,3,0,0,0,produto,medio
0.92,0.66,3,154,5,0,0,0,marketing,medio
0.4,0.59,4,162,3,0,1,0,vendas,baixo
0.75,0.65,4,194,2,0,0,0,tecnico,baixo
0.83,0.62,4,260,4,0,0,0,TI,medio
0.8,0.78,5,264,5,0,0,0,tecnico,baixo
0.53,0.66,4,143,2,0,0,0,produto,baixo
0.87,0.59,3,182,7,0,0,0,TI,baixo
0.75,0.67,4,209,4,0,0,0,vendas,medio
0.09,0.56,5,293,3,1,1,0,marketing,baixo
0.83,0.69,4,269,4,0,0,0,produto,medio
0.32,0.52,4,279,3,0,1,0,TI,medio
0.91,0.62,2,174,2,0,0,0,vendas,medio
0.76,0.6,6,205,2,1,0,0,vendas,baixo
0.11,0.74,2,213,2,0,1,0,tecnico,baixo
0.67,0.74,3,147,3,0,0,0,tecnico,medio
0.91,0.68,3,115,3,0,0,0,vendas,medio
0.55,0.7,4,202,4,0,0,0,marketing,baixo
0.89,0.49,4,157,4,1,0,0,TI,baixo
0.9,0.62,5,243,4,1,0,0,suporte,medio
0.86,0.58,6,170,5,1,0,0,vendas,alto
0.9,0.66,4,221,4,0,0,0,administrativo,baixo
0.64,0.65,6,187,3,0,0,0,vendas,baixo
0.7,0.78,4,184,7,1,0,0,marketing,baixo
0.58,0.75,3,213,8,0,0,0,gerenciamento,baixo
0.92,0.59,3,188,6,0,0,0,produto,baixo
0.86,0.56,3,241,3,0,0,0,gerenciamento,medio
0.85,0.62,4,243,4,0,0,0,TI,medio
0.67,0.63,4,196,5,1,0,0,vendas,baixo
0.19,0.59,5,302,4,0,1,0,vendas,medio
0.81,0.81,3,184,5,1,0,0,tecnico,medio
0.82,0.62,4,193,2,0,0,0,vendas,medio
0.84,0.66,6,253,8,0,0,0,TI,alto
0.81,0.74,4,182,6,0,0,0,vendas,medio
0.85,0.74,3,169,2,0,0,0,RH,alto
0.09,0.64,3,261,5,0,1,0,tecnico,baixo
0.79,0.61,5,157,3,0,0,0,suporte,baixo
0.18,0.5,5,205,4,0,1,0,gerenciamento,medio
0.38,0.76,5,238,3,0,1,0,vendas,medio
0.29,0.76,6,246,4,0,1,0,produto,baixo
0.19,0.71,6,270,6,0,1,0,marketing,medio
0.88,0.6,3,183,5,0,0,0,vendas,baixo
0.88,0.63,4,156,5,1,0,0,suporte,medio
0.58,0.48,3,223,4,0,0,0,tecnico,baixo
0.53,0.85,4,221,3,0,0,0,marketing,medio
0.83,0.67,2,183,4,0,0,0,TI,baixo
0.57,0.82,7,199,2,1,0,0,suporte,alto
0.76,0.63,5,156,8,0,0,0,marketing,baixo
0.72,0.55,2,186,5,0,0,0,vendas,alto
0.76,0.6,3,186,5,0,0,0,marketing,baixo
0.68,0.49,4,250,5,0,0,0,financeiro,medio
0.88,0.6,2,150,6,0,0,0,financeiro,baixo
0.16,0.68,6,170,4,0,1,0,marketing,medio
0.55,0.78,6,190,4,0,0,0,tecnico,medio
0.61,0.71,3,244,6,0,0,1,gerenciamento,medio
0.72,0.83,3,210,5,1,0,0,tecnico,baixo
0.48,0.69,4,197,3,0,0,0,TI,medio
0.88,0.78,4,221,3,0,0,0,vendas,baixo
0.83,0.82,5,137,5,0,0,0,gerenciamento,baixo
0.71,0.64,3,290,6,0,0,0,produto,baixo
0.65,0.71,4,169,7,0,0,0,marketing,baixo
0.9,0.64,3,302,5,0,0,0,vendas,medio
0.72,0.53,3,186,4,0,0,0,marketing,baixo
0.86,0.79,3,254,2,0,0,0,marketing,baixo
0.68,0.65,4,243,4,0,0,0,TI,medio
0.82,0.74,7,198,3,0,0,0,tecnico,alto
0.09,0.76,5,216,3,0,1,0,suporte,medio
0.64,0.66,4,207,4,0,0,0,vendas,medio
0.64,0.79,3,180,3,0,0,0,suporte,medio
0.75,0.72,3,138,4,0,0,0,vendas,medio
0.79,0.72,3,176,3,0,0,0,tecnico,alto
0.89,0.62,3,192,5,0,0,0,vendas,medio
0.72,0.65,4,210,4,0,0,0,vendas,baixo
0.23,0.53,5,232,5,0,1,0,vendas,medio
0.89,0.54,4,169,4,0,0,0,administrativo,alto
0.56,0.64,3,150,4,0,0,0,suporte,baixo
0.92,0.7,5,163,5,0,0,0,tecnico,medio
0.73,0.73,3,171,3,0,0,0,suporte,medio
0.8,0.56,3,190,8,1,0,0,TI,medio
0.54,0.62,4,196,10,0,0,0,administrativo,baixo
0.8,0.7,3,197,2,1,0,0,vendas,medio
0.78,0.65,3,255,4,0,0,0,tecnico,baixo
0.77,0.65,3,182,5,0,0,0,gerenciamento,baixo
0.18,0.68,7,271,4,0,1,0,tecnico,alto
0.6,0.61,3,189,3,0,0,0,vendas,medio
0.25,0.58,2,229,3,0,1,0,vendas,medio
0.92,0.63,6,184,4,0,0,0,vendas,medio
0.21,0.67,7,263,10,0,1,0,gerenciamento,medio
0.59,0.72,5,207,4,0,0,0,tecnico,medio
0.32,0.69,5,270,5,0,1,0,administrativo,baixo
0.17,0.59,3,207,5,0,1,0,gerenciamento,medio
0.8,0.55,3,270,2,0,0,0,suporte,medio
0.19,0.61,2,207,4,0,1,0,vendas,medio
0.71,0.71,4,195,3,0,0,0,vendas,baixo
0.69,0.69,4,189,4,0,0,0,suporte,baixo
0.69,0.65,3,221,4,0,0,0,tecnico,baixo
0.63,0.76,3,271,5,1,0,0,suporte,medio
0.82,0.76,4,207,5,0,0,0,tecnico,alto
0.92,0.77,2,218,4,1,0,0,administrativo,alto
0.5,0.7,4,210,8,0,0,0,suporte,baixo
0.63,0.59,3,249,5,1,0,0,produto,baixo
0.34,0.74,2,279,8,0,1,0,financeiro,baixo
0.77,0.6,3,237,3,0,0,0,vendas,baixo
0.77,0.61,3,229,6,0,0,0,vendas,medio
0.8,0.72,5,239,4,0,0,1,vendas,medio
0.84,0.54,3,156,3,1,0,0,vendas,baixo
0.8,0.64,3,225,3,0,0,0,suporte,baixo
0.76,0.62,3,164,3,0,0,0,tecnico,baixo
0.89,0.64,6,148,5,0,0,0,tecnico,baixo
0.29,0.78,3,190,6,0,1,0,gerenciamento,medio
0.89,0.56,4,129,3,0,0,0,vendas,medio
0.82,0.8,5,181,6,0,0,0,suporte,medio
0.74,0.6,3,207,4,0,0,0,vendas,medio
0.76,0.74,7,124,5,0,0,0,tecnico,baixo
0.59,0.65,3,189,4,0,0,0,suporte,baixo
0.59,0.8,6,231,5,0,0,0,administrativo,baixo
0.83,0.63,3,237,6,0,0,0,tecnico,medio
0.8,0.71,3,164,8,0,0,0,vendas,medio
0.24,0.52,6,198,4,0,1,0,tecnico,medio
0.26,0.84,4,308,3,1,1,0,vendas,baixo
0.82,0.53,4,195,5,0,0,0,vendas,medio
0.57,0.64,3,217,2,0,0,0,TI,baixo
0.87,0.58,3,235,5,0,0,0,vendas,baixo
0.86,0.59,3,214,2,0,0,0,suporte,baixo
0.83,0.64,3,141,7,0,0,1,TI,baixo
0.81,0.77,4,164,4,0,0,0,tecnico,medio
0.79,0.6,5,236,4,0,0,0,vendas,medio
0.77,0.68,6,215,3,0,0,0,gerenciamento,baixo
0.61,0.51,3,207,2,0,0,0,tecnico,baixo
0.16,0.7,3,243,4,0,1,0,marketing,baixo
0.17,0.77,7,300,4,0,1,0,tecnico,baixo
0.79,0.79,4,288,5,0,0,0,suporte,baixo
0.94,0.69,3,192,4,0,0,0,tecnico,medio
0.1,0.68,7,210,5,0,1,0,tecnico,baixo
0.8,0.51,5,202,4,0,0,0,vendas,medio
0.17,0.86,3,265,4,0,1,0,tecnico,baixo
0.78,0.66,3,150,5,1,0,0,financeiro,baixo
0.18,0.51,7,255,2,0,1,0,produto,baixo
0.75,0.76,3,194,3,0,0,0,vendas,medio
0.11,0.61,4,286,4,0,1,0,suporte,medio
0.09,0.77,4,261,4,0,1,0,financeiro,baixo
0.85,0.69,4,233,5,1,0,0,produto,alto
0.59,0.71,4,199,5,1,0,0,vendas,baixo
0.26,0.75,2,231,5,0,1,0,financeiro,alto
0.71,0.55,3,248,7,0,0,0,tecnico,baixo
0.09,0.6,3,190,4,0,1,0,tecnico,medio
0.75,0.69,6,239,5,0,0,0,suporte,medio
0.77,0.59,5,186,5,0,0,0,RH,medio
0.66,0.61,3,229,7,1,0,0,administrativo,baixo
0.52,0.71,3,176,10,0,0,0,administrativo,baixo
0.74,0.66,5,197,4,0,0,0,vendas,medio
0.73,0.59,2,130,6,1,0,0,administrativo,medio
0.77,0.46,5,242,5,0,0,0,vendas,medio
0.67,0.74,3,195,6,0,0,0,vendas,baixo
0.55,0.66,3,220,3,0,0,0,suporte,baixo
0.43,0.74,7,218,6,1,1,0,suporte,medio
0.14,0.68,6,218,3,0,1,0,suporte,baixo
0.83,0.5,4,239,4,0,0,0,suporte,baixo
0.17,0.47,4,273,3,0,1,0,administrativo,medio
0.3,0.78,6,285,6,0,1,0,vendas,baixo
0.9,0.63,3,209,3,0,0,0,vendas,baixo
0.39,0.7,5,249,3,0,1,0,administrativo,baixo
0.72,0.71,3,222,6,1,0,0,vendas,medio
0.52,0.67,3,188,3,0,0,0,TI,baixo
0.33,0.69,5,204,5,0,1,0,TI,medio
0.85,0.63,3,153,4,0,0,0,suporte,baixo
0.33,0.86,5,276,5,0,1,0,produto,baixo
0.12,0.51,4,303,3,0,1,0,vendas,medio
0.65,0.61,6,200,2,0,0,0,RH,medio
0.26,0.7,7,230,5,0,1,0,vendas,baixo
0.64,0.58,5,194,5,0,0,0,tecnico,baixo
0.63,0.6,4,272,3,0,0,0,vendas,baixo
0.83,0.8,3,207,5,0,0,0,suporte,medio
0.19,0.69,2,284,2,0,1,0,TI,baixo
0.82,0.72,5,206,5,1,0,0,administrativo,medio
0.93,0.61,5,160,7,1,0,0,produto,medio
0.79,0.7,3,200,7,0,0,0,suporte,medio
0.6,0.72,3,183,4,0,0,0,administrativo,medio
0.62,0.68,3,198,4,0,0,1,suporte,medio
0.65,0.66,5,236,4,0,0,0,suporte,baixo
0.72,0.59,6,166,4,0,0,0,suporte,baixo
0.82,0.63,4,239,4,1,0,0,tecnico,baixo
0.56,0.72,2,195,6,0,1,0,RH,medio
0.78,0.68,4,230,3,0,0,0,vendas,medio
